epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.61,3.17003,5.07577,2.30082,0.00296,0.88889,0.00752,0.00194,2.80661,4.60345,1.76698,4e-05,4e-05,4e-05
2,26.1337,3.02998,4.86427,2.34794,0.00296,0.88889,0.01958,0.00558,2.45947,4.44136,1.54135,9.802e-05,9.802e-05,9.802e-05
3,38.6054,2.65858,4.35863,1.90151,0.00296,0.88889,0.1041,0.03727,2.16421,4.221,1.46591,0.000153664,0.000153664,0.000153664
4,51.2953,2.13056,3.64322,1.59812,0.00296,0.88889,0.26198,0.07915,1.8413,3.71981,1.29231,0.000206932,0.000206932,0.000206932
5,64.2804,1.83573,3.62461,1.28589,0.00296,0.88889,0.2846,0.12809,1.4913,3.55937,1.16241,0.000257824,0.000257824,0.000257824
6,77.9085,1.73137,2.74961,1.24137,0.00296,0.88889,0.3272,0.15025,1.41345,3.41389,1.15295,0.00030634,0.00030634,0.00030634
7,91.4529,1.77197,2.75404,1.32573,0.00296,0.88889,0.31212,0.1503,1.37367,3.50164,1.15923,0.00035248,0.00035248,0.00035248
8,104.187,1.67829,2.29619,1.3132,0.00296,0.88889,0.55477,0.16155,1.39446,3.62312,1.16866,0.000396244,0.000396244,0.000396244
9,116.933,1.67291,2.32068,1.27386,0.00296,0.88889,0.4302,0.11999,1.33284,4.00759,1.29431,0.000437632,0.000437632,0.000437632
10,129.691,1.49139,2.13887,1.16906,0.00296,0.88889,0.27782,0.13272,1.48768,3.81101,1.29891,0.000476644,0.000476644,0.000476644
11,143.057,1.51757,2.08396,1.2257,0.00296,0.88889,0.09078,0.05619,1.40221,3.6965,1.24984,0.00051328,0.00051328,0.00051328
12,155.931,1.42843,1.90837,1.2069,0.00296,0.88889,0.11951,0.05041,1.45624,3.80327,1.28402,0.00054754,0.00054754,0.00054754
13,168.785,1.38047,1.78612,1.16905,0.00296,0.88889,0.1391,0.06765,1.54882,3.76221,1.368,0.000579424,0.000579424,0.000579424
14,181.598,1.53969,1.81064,1.21706,0.00296,0.88889,0.30204,0.12049,1.44505,3.66846,1.31197,0.000608932,0.000608932,0.000608932
15,194.442,1.7524,2.08513,1.31045,0.00296,0.88889,0.08326,0.04555,1.7814,3.84045,1.49403,0.000636064,0.000636064,0.000636064
16,207.389,1.5418,1.74853,1.2369,0.00296,0.88889,0.12761,0.06052,1.8993,3.98334,1.61031,0.00066082,0.00066082,0.00066082
17,220.157,1.43272,1.7036,1.12333,0.00296,0.88889,0.24728,0.14625,1.57751,3.51196,1.35061,0.0006832,0.0006832,0.0006832
18,232.902,1.27498,1.74499,1.10529,0.00296,0.88889,0.40781,0.18683,1.52434,3.30655,1.32331,0.000703204,0.000703204,0.000703204
19,245.775,1.4299,1.64827,1.12756,0.72444,0.29926,0.56301,0.29936,1.40092,3.22896,1.28387,0.000720832,0.000720832,0.000720832
20,258.674,1.34592,1.67366,1.13324,1,0.33009,0.77083,0.32385,1.35097,3.18688,1.25531,0.000736084,0.000736084,0.000736084
21,271.805,1.25921,1.502,1.05349,1,0.52109,0.85518,0.41253,1.46489,2.97244,1.25589,0.00074896,0.00074896,0.00074896
22,284.735,1.35319,1.59889,1.12027,0.41383,0.77778,0.53388,0.24738,1.62754,3.09276,1.35591,0.00075946,0.00075946,0.00075946
23,297.652,1.35184,1.4945,1.09174,0.34222,0.66667,0.5239,0.22725,1.73867,3.07645,1.39951,0.000767584,0.000767584,0.000767584
24,310.631,1.29093,1.51146,1.20746,1,0.32207,0.67781,0.27969,1.76569,2.96682,1.42639,0.000773332,0.000773332,0.000773332
25,323.659,1.33625,1.47034,1.15548,1,0.31877,0.88518,0.33774,1.8578,2.89197,1.4757,0.000776704,0.000776704,0.000776704
26,336.678,1.20708,1.56514,1.13546,1,0.33145,0.88518,0.39305,1.85154,2.71534,1.51122,0.0007777,0.0007777,0.0007777
27,349.743,1.27917,1.31744,1.0913,1,0.55568,0.86073,0.47774,1.4913,2.58644,1.33076,0.00077632,0.00077632,0.00077632
28,362.642,1.2289,1.34865,1.08238,0.87245,0.77778,0.84143,0.559,1.36777,2.35091,1.21003,0.000772564,0.000772564,0.000772564
29,375.63,1.38357,1.35778,1.14201,0.87245,0.77778,0.84143,0.559,1.36777,2.35091,1.21003,0.000766432,0.000766432,0.000766432
30,388.621,1.25071,1.28969,1.08442,0.93116,0.77778,0.84287,0.58628,1.34595,2.15989,1.17187,0.000757924,0.000757924,0.000757924
31,401.598,1.42082,1.43961,1.12892,0.94067,0.77778,0.85518,0.46958,1.65222,2.08799,1.28327,0.00074704,0.00074704,0.00074704
32,414.563,1.25448,1.31054,1.07859,0.9495,0.77778,0.87295,0.46062,1.66633,1.99721,1.30777,0.00073378,0.00073378,0.00073378
33,427.59,1.27229,1.4642,1.12764,0.9495,0.77778,0.87295,0.46062,1.66633,1.99721,1.30777,0.000718144,0.000718144,0.000718144
34,440.793,1.23086,1.21103,1.0609,0.96828,0.77778,0.87295,0.56694,1.37167,1.84835,1.21458,0.0006932,0.0006932,0.0006932
